complaint_id,customer_id,complaint_date,complaint_category,complaint_status,resolution_days,branch_id
CMP900086,CUST101095,02/05/2022,Mis-selling,Open,11,BR1029
CMP900945,CUST100794,07-Dec-2019,Fees & Charges,Resolved,3,BR1017
CMP900547,CUST100913,06/09/2019,Fees & Charges,Escalated,30,BR1020
CMP900030,CUST101575,07-26-2021,Customer Service,Resolved,9,BR1012
CMP900645,CUST102338,17-Dec-2019,Card Issue,Open,40,BR1021
CMP900278,CUST103024,2019-11-25,,Open,43,BR1024
CMP900209,CUST103091,18-Mar-2022,Mis-selling,Open,38,BR1018
CMP900053,CUST100792,10-14-2020,Loan Issue,In Progress,10,BR1001
CMP900653,CUST100748,02.08.2022,Fraud,Resolved,25,BR1022
CMP900221,CUST101466,2024-10-06,,Resolved,11,BR1006
CMP900247,CUST100467,01-05-2023,Account Closure,Resolved,34,BR1026
CMP900441,CUST100776,05.11.2021,Online Banking,In Progress,6,BR1000
CMP900560,CUST100917,13-Feb-2024,Account Closure,Open,38,BR1013
CMP900244,CUST102104,23-Nov-2025,Customer Service,Escalated,40,BR1030
CMP900374,CUST101585,14/12/2026,Fees & Charges,Resolved,28,BR1018
CMP900011,CUST101329,04/10/2022,,Open,31,BR1030
CMP900855,CUST100011,04-Sep-2024,,Escalated,23,BR1029
CMP900687,CUST102458,12-14-2026,Mis-selling,In Progress,12,BR1015
CMP900320,CUST101619,08/10/2023,Loan Issue,Open,21,BR1006
CMP900397,CUST100367,2022-09-10,Customer Service,Resolved,20,BR1001
CMP900190,CUST101267,08-28-2021,Customer Service,Resolved,41,BR1011
CMP900376,CUST101026,04-03-2023,Fraud,Resolved,31,BR1006
CMP900819,CUST102730,2024-08-13,Loan Issue,Escalated,45,BR1018
CMP900325,CUST100167,19-Jul-2022,Online Banking,Escalated,4,BR1003
CMP900306,CUST101629,30-Oct-2024,Card Issue,Escalated,23,BR1008
CMP900835,CUST102341,21-Oct-2026,,Escalated,6,BR1015
CMP900748,CUST101113,28/09/2023,Mis-selling,In Progress,23,BR1027
CMP900442,CUST100667,29-Nov-2026,Customer Service,In Progress,32,BR1012
CMP900527,CUST102352,27/01/2025,Card Issue,In Progress,35,BR1024
CMP900899,CUST102789,19/02/2026,Customer Service,Resolved,35,BR1024
CMP900013,CUST100392,23/02/2021,Online Banking,Escalated,42,BR1014
CMP900809,CUST102476,2019-03-09,Online Banking,Open,8,BR1001
CMP900935,CUST100538,30-Apr-2022,Customer Service,In Progress,36,BR1019
CMP900293,CUST102512,20/05/2020,Online Banking,Escalated,18,BR1003
CMP900191,CUST101826,2020-09-18,Fees & Charges,Escalated,29,BR1000
CMP900159,CUST101738,02-Oct-2022,Fraud,In Progress,23,BR1015
CMP900158,CUST101216,2026-11-26,Fees & Charges,Escalated,8,BR1005
CMP900227,CUST100437,14.05.2021,Card Issue,Escalated,3,BR1014
CMP900139,CUST100734,19/11/2019,,Open,17,BR1028
CMP900398,CUST101265,2024-12-30,,In Progress,35,BR1016
CMP900531,CUST100765,04.03.2025,Account Closure,Escalated,41,BR1025
CMP900833,CUST101961,2022-06-30,Fees & Charges,Escalated,11,BR1006
CMP900662,CUST102752,20.06.2020,Account Closure,Open,30,BR1008
CMP900330,CUST101680,26/06/2024,Mis-selling,Resolved,20,BR1013
CMP900699,CUST103148,25.11.2022,,Resolved,7,BR1005
CMP900941,CUST102942,24/10/2019,Fraud,Resolved,27,BR1007
CMP900576,CUST102529,13.05.2024,Account Closure,Escalated,27,BR1011
CMP900157,CUST100538,16/06/2021,Customer Service,Open,35,BR1018
CMP900479,CUST101221,09.07.2025,Online Banking,Open,16,BR1017
CMP900417,CUST102305,10-05-2024,Account Closure,Open,38,BR1002
CMP900591,CUST100644,10-26-2026,Fraud,In Progress,4,BR1025
CMP900922,CUST101363,07-04-2020,Mis-selling,In Progress,39,BR1018
CMP900219,CUST100440,10-13-2026,Card Issue,Open,6,BR1026
CMP900452,CUST100769,16.12.2021,Mis-selling,Escalated,17,BR1010
CMP900183,CUST102003,08/09/2026,Customer Service,Open,-9,BR1014
CMP900679,CUST100953,2020-11-09,Fees & Charges,Open,8,BR1013
CMP900391,CUST102166,05-06-2019,,Open,36,BR1029
CMP900868,CUST101138,21-Nov-2023,Mis-selling,Resolved,23,BR1006
CMP900066,CUST101697,31-Jan-2024,Online Banking,In Progress,26,BR1002
CMP900487,CUST102421,2024-04-19,Fraud,In Progress,31,BR1030
CMP900486,CUST102268,21.09.2019,,Resolved,13,BR1003
CMP900610,CUST101313,04-06-2026,Online Banking,Resolved,42,BR1010
CMP900637,CUST102743,17.11.2024,Fraud,Resolved,39,BR1003
CMP900271,CUST101638,06-20-2019,Card Issue,Escalated,1,BR1028
CMP900664,CUST100837,11-Jun-2026,Account Closure,In Progress,14,BR1011
CMP900723,CUST101890,06/09/2026,Card Issue,In Progress,3,BR1016
CMP900377,CUST102984,12.03.2020,Card Issue,Escalated,41,BR1000
CMP900673,CUST100331,2025-01-31,Loan Issue,Escalated,6,BR1001
CMP900218,CUST102172,10.10.2020,Mis-selling,Open,12,BR1028
CMP900782,CUST101541,02.01.2020,Account Closure,In Progress,39,BR1031
CMP900542,CUST101549,2026-04-23,Loan Issue,Open,18,BR1005
CMP900732,CUST101988,28/06/2023,Fraud,Resolved,37,BR1017
CMP900812,CUST102076,10/11/2022,Loan Issue,Resolved,22,BR1024
CMP900379,CUST100574,01/08/2025,Mis-selling,In Progress,32,BR1009
CMP900525,CUST100108,2024-11-07,Mis-selling,Resolved,7,BR1013
CMP900037,CUST101705,21.05.2026,Online Banking,Resolved,-1,BR1019
CMP900777,CUST102623,2022-09-22,Customer Service,Resolved,34,BR1010
CMP900150,CUST100667,25/05/2020,Online Banking,Resolved,-9,BR1014
CMP900562,CUST100387,2020-07-25,Fraud,Escalated,30,BR1020
CMP900743,CUST100799,14/07/2019,Card Issue,Resolved,-2,BR1007
CMP900230,CUST100380,01-23-2019,Card Issue,Resolved,3,BR1021
CMP900412,CUST102560,10/06/2022,Customer Service,Open,27,BR1020
CMP900499,CUST101960,09-Aug-2021,Customer Service,Resolved,18,BR1020
CMP900169,CUST102000,25-Feb-2022,Customer Service,In Progress,18,BR1024
CMP900907,CUST103140,07/09/2025,Account Closure,Escalated,9,BR1016
CMP900337,CUST101910,06-23-2024,Account Closure,In Progress,44,BR1013
CMP900266,CUST100792,07.11.2019,Mis-selling,Open,34,BR1030
CMP900803,CUST102525,18-Jan-2019,Customer Service,Escalated,10,BR1021
CMP900384,CUST102772,11/09/2024,Customer Service,Resolved,21,BR1000
CMP900257,CUST102730,2023-02-26,Loan Issue,Resolved,24,BR1015
CMP900416,CUST102067,04.06.2026,Online Banking,Escalated,29,BR1001
CMP900217,CUST101226,08-Jul-2026,Customer Service,Open,45,BR1022
CMP900361,CUST101495,02-04-2019,Fees & Charges,In Progress,4,BR1026
CMP900784,CUST102487,07-Sep-2024,Fraud,Open,41,BR1024
CMP900114,CUST101205,08-18-2023,,In Progress,6,BR1030
CMP900123,CUST100684,14/03/2019,Mis-selling,In Progress,39,BR1013
CMP900108,CUST100198,01-16-2023,Fraud,Escalated,3,BR1005
CMP900012,CUST101937,09-16-2025,Customer Service,In Progress,9,BR1017
CMP900588,CUST103116,24-Jan-2025,Customer Service,Escalated,9,BR1026
CMP900081,CUST101650,05/05/2022,Online Banking,In Progress,14,BR1001
CMP900633,CUST102818,08-10-2023,,In Progress,14,BR1007
CMP900740,CUST100159,30-Apr-2019,Fees & Charges,Open,45,BR1001
CMP900008,CUST102955,2020-07-01,Fees & Charges,Open,4,BR1018
CMP900724,CUST101745,03-18-2022,Fees & Charges,Resolved,23,BR1002
CMP900642,CUST101720,02.06.2023,Mis-selling,Open,43,BR1002
CMP900357,CUST102292,18.05.2021,Customer Service,Escalated,2,BR1013
CMP900881,CUST102099,10-11-2025,Card Issue,Resolved,38,BR1008
CMP900048,CUST100021,02-28-2022,Card Issue,Open,11,BR1002
CMP900044,CUST100293,02-19-2023,Customer Service,Escalated,38,BR1025
CMP900764,CUST102822,30-Nov-2022,Card Issue,In Progress,22,BR1012
CMP900151,CUST101332,21.04.2019,Customer Service,Open,6,BR1021
CMP900466,CUST100669,2023-04-04,,Open,39,BR1019
CMP900932,CUST102527,05-21-2020,Fees & Charges,Open,-7,BR1006
CMP900685,CUST102780,12-18-2023,Mis-selling,In Progress,44,BR1011
CMP900753,CUST100388,01-Nov-2026,Customer Service,Resolved,44,BR1021
CMP900704,CUST102419,22-Dec-2019,Account Closure,In Progress,14,BR1010
CMP900845,CUST100312,04-May-2023,Loan Issue,Escalated,-3,BR1016
CMP900832,CUST102952,2023-04-26,Loan Issue,Open,8,BR1005
CMP900825,CUST101525,15/07/2019,Customer Service,Escalated,10,BR1027
CMP900706,CUST103107,06-22-2024,Customer Service,Open,40,BR1017
CMP900828,CUST100835,22.11.2020,Customer Service,Open,42,BR1016
CMP900068,CUST101564,30.05.2025,Customer Service,Open,21,BR1031
CMP900063,CUST102745,2021-07-11,Loan Issue,Open,13,BR1022
CMP900172,CUST101264,07.01.2019,Customer Service,Resolved,16,BR1021
CMP900126,CUST100345,12-09-2022,Card Issue,Escalated,9,BR1011
CMP900335,CUST101200,25-Feb-2023,Loan Issue,Open,41,BR1005
CMP900476,CUST100865,30/04/2023,Customer Service,Resolved,17,BR1018
CMP900003,CUST100364,26-Oct-2026,Mis-selling,Open,13,BR1004
CMP900745,CUST102749,22-Apr-2021,Fraud,Resolved,31,BR1020
CMP900194,CUST102135,19-Feb-2022,Mis-selling,Open,17,BR1022
CMP900759,CUST102139,2025-11-16,Customer Service,Escalated,32,BR1007
CMP900196,CUST100515,13.01.2025,Account Closure,In Progress,39,BR1029
CMP900888,CUST100507,27/08/2023,Account Closure,In Progress,32,BR1013
CMP900607,CUST102387,28-May-2022,,Escalated,12,BR1001
CMP900433,CUST100700,01-Aug-2021,Fraud,Resolved,9,BR1024
CMP900338,CUST102201,08-26-2022,Fraud,Open,-2,BR1003
CMP900470,CUST102530,2024-09-18,Loan Issue,In Progress,44,BR1006
CMP900823,CUST101442,03-16-2023,Account Closure,Open,13,BR1026
CMP900802,CUST102702,12-29-2026,Mis-selling,In Progress,13,BR1030
CMP900582,CUST101338,08-18-2022,Customer Service,Escalated,27,BR1026
CMP900343,CUST100549,05-13-2023,Loan Issue,Escalated,33,BR1025
CMP900806,CUST100062,24/02/2019,Customer Service,Open,11,BR1024
CMP900181,CUST100108,07-Oct-2026,Loan Issue,Resolved,31,BR1031
CMP900075,CUST100509,21.06.2019,Fraud,Resolved,39,BR1028
CMP900210,CUST100401,30.04.2026,Account Closure,Resolved,40,BR1024
CMP900405,CUST102854,04-Jan-2022,,In Progress,9,BR1017
CMP900900,CUST101241,2023-03-31,Fraud,Escalated,28,BR1008
CMP900025,CUST102690,15.10.2024,Mis-selling,In Progress,5,BR1018
CMP900139,CUST100734,19/11/2019,,Open,17,BR1028
CMP900182,CUST100268,15.05.2025,Loan Issue,Open,11,BR1002
CMP900118,CUST103091,08-12-2023,Customer Service,Escalated,37,BR1030
CMP900349,CUST101610,27.10.2019,Online Banking,In Progress,-5,BR1015
CMP900539,CUST100897,15-Sep-2023,Account Closure,Open,17,BR1017
CMP900690,CUST100443,2021-06-02,,Escalated,12,BR1027
CMP900319,CUST100810,09-13-2021,Account Closure,In Progress,34,BR1020
CMP900741,CUST100384,08-09-2024,Fraud,Escalated,31,BR1016
CMP900524,CUST100086,20-Nov-2026,Online Banking,Resolved,44,BR1022
CMP900199,CUST102950,18/09/2023,Fees & Charges,Open,11,BR1015
CMP900408,CUST100302,2024-06-13,Customer Service,Resolved,10,BR1025
CMP900886,CUST101287,08-Mar-2019,Mis-selling,Open,21,BR1019
CMP900640,CUST101472,22.12.2026,Card Issue,In Progress,24,BR1005
CMP900528,CUST100175,29-Jan-2026,,Resolved,9,BR1013
CMP900849,CUST102310,12-07-2023,Mis-selling,In Progress,40,BR1006
CMP900148,CUST102881,25.07.2026,,Resolved,25,BR1019
CMP900238,CUST101045,09-30-2019,Mis-selling,Resolved,39,BR1025
CMP900284,CUST102856,24/03/2026,Account Closure,In Progress,27,BR1005
CMP900609,CUST102956,06/10/2021,Fraud,Open,22,BR1021
CMP900710,CUST100597,06.06.2025,Customer Service,Resolved,23,BR1007
CMP900173,CUST101781,05-29-2022,Fees & Charges,In Progress,44,BR1008
CMP900353,CUST101001,12-16-2019,Account Closure,Open,42,BR1017
CMP900829,CUST102504,06-Jul-2020,Account Closure,Escalated,42,BR1024
CMP900133,CUST101556,19/09/2019,Fees & Charges,Resolved,-2,BR1016
CMP900789,CUST101009,2021-01-20,Loan Issue,Resolved,41,BR1020
CMP900708,CUST101511,2020-11-11,Card Issue,Escalated,22,BR1020
CMP900595,CUST100577,11-30-2023,Account Closure,Open,36,BR1029
CMP900341,CUST101146,03-30-2022,Fraud,In Progress,42,BR1023
CMP900050,CUST102614,15.06.2026,Customer Service,Escalated,21,BR1013
CMP900686,CUST101912,2025-09-21,Fraud,In Progress,16,BR1014
CMP900821,CUST100472,04/09/2026,Customer Service,Escalated,21,BR1025
CMP900644,CUST100079,2022-11-27,Fraud,In Progress,11,BR1027
CMP900842,CUST102504,15-Apr-2025,Fraud,Open,14,BR1005
CMP900211,CUST101697,2019-08-29,Customer Service,In Progress,39,BR1022
CMP900921,CUST102686,11-06-2021,Customer Service,In Progress,28,BR1024
CMP900196,CUST100515,13.01.2025,Account Closure,In Progress,39,BR1029
CMP900535,CUST100690,15/07/2019,Account Closure,Open,30,BR1011
CMP900808,CUST101825,27.03.2019,Card Issue,Resolved,18,BR1005
CMP900733,CUST101839,09-05-2021,Fees & Charges,Open,-3,BR1018
CMP900626,CUST100499,2022-12-31,Fraud,In Progress,36,BR1022
CMP900652,CUST102351,19.10.2020,Customer Service,Open,25,BR1019
CMP900018,CUST100189,25-Jul-2020,Account Closure,Escalated,20,BR1000
CMP900290,CUST101313,12-Apr-2019,Fees & Charges,Resolved,26,BR1011
CMP900556,CUST102560,09-13-2019,Card Issue,Escalated,37,BR1018
CMP900590,CUST101183,02-28-2022,Fees & Charges,Open,42,BR1009
CMP900027,CUST102565,13-Dec-2023,Customer Service,Open,22,BR1023
CMP900852,CUST101279,01-May-2024,Fees & Charges,Resolved,36,BR1001
CMP900142,CUST101767,22/01/2023,,In Progress,28,BR1023
CMP900043,CUST100488,09-09-2026,Loan Issue,Escalated,33,BR1026
CMP900007,CUST102808,05/06/2024,Card Issue,Escalated,27,BR1017
CMP900241,CUST101590,28.04.2023,Fraud,Open,21,BR1000
CMP900531,CUST100765,04.03.2025,Account Closure,Escalated,41,BR1025
CMP900523,CUST102869,13.03.2019,Customer Service,Resolved,19,BR1000
CMP900403,CUST102141,17/06/2019,Mis-selling,Resolved,26,BR1007
CMP900002,CUST100625,26.10.2023,Account Closure,In Progress,2,BR1005
CMP900798,CUST101528,12-Feb-2021,Fees & Charges,Escalated,7,BR1014
CMP900773,CUST100397,2020-04-27,Mis-selling,Resolved,1,BR1026
CMP900394,CUST100562,06-18-2019,Fraud,In Progress,44,BR1017
CMP900340,CUST102763,07-Sep-2026,Card Issue,Escalated,34,BR1020
CMP900026,CUST102362,2020-01-13,Account Closure,Open,22,BR1002
CMP900254,CUST102016,22-Jan-2024,Customer Service,In Progress,17,BR1026
CMP900577,CUST100982,08-Sep-2024,Online Banking,Open,38,BR1009
CMP900942,CUST101765,09-05-2020,Online Banking,Open,24,BR1007
CMP900261,CUST101272,11-Aug-2020,Fees & Charges,Resolved,32,BR1023
CMP900390,CUST101139,2022-01-20,Card Issue,Escalated,6,BR1031
CMP900667,CUST100084,27-Jun-2020,Online Banking,Escalated,4,BR1031
CMP900049,CUST100429,14/07/2022,Card Issue,Open,1,BR1012
CMP900851,CUST100911,11/09/2021,Online Banking,Open,10,BR1016
CMP900463,CUST100337,10-Apr-2026,Online Banking,In Progress,7,BR1000
CMP900627,CUST101186,31.03.2021,Fraud,Resolved,2,BR1022
CMP900657,CUST102539,11/12/2025,Mis-selling,Open,30,BR1022
CMP900558,CUST100930,19/04/2025,Fraud,Escalated,25,BR1005
CMP900342,CUST100604,01-Oct-2019,Mis-selling,In Progress,18,BR1002
CMP900875,CUST101726,29-Sep-2019,Customer Service,In Progress,7,BR1004
CMP900779,CUST101769,2022-04-30,Fees & Charges,Resolved,31,BR1001
CMP900375,CUST102254,22/02/2024,Customer Service,Open,9,BR1000
CMP900751,CUST100572,11-30-2025,Online Banking,Open,38,BR1013
CMP900671,CUST103140,12-07-2024,Account Closure,In Progress,4,BR1029
CMP900418,CUST103136,12-27-2026,Card Issue,Open,39,BR1018
CMP900145,CUST101495,08.08.2022,Loan Issue,Escalated,11,BR1019
CMP900415,CUST102337,10-05-2022,Account Closure,Open,33,BR1012
CMP900919,CUST102166,20.06.2025,,Open,25,BR1006
CMP900189,CUST101294,18-Oct-2019,Fees & Charges,Open,33,BR1018
CMP900752,CUST101182,21-Jun-2021,Fraud,Resolved,42,BR1001
CMP900233,CUST100875,06.04.2026,Loan Issue,Open,32,BR1029
CMP900585,CUST100830,2025-12-26,Fees & Charges,Escalated,14,BR1005
CMP900456,CUST100866,06-Jun-2021,Customer Service,Resolved,23,BR1024
CMP900532,CUST101625,11/08/2020,Fees & Charges,Open,41,BR1023
CMP900028,CUST101328,16.04.2022,Fraud,Escalated,4,BR1021
CMP900360,CUST100686,14/10/2025,Card Issue,In Progress,42,BR1004
CMP900933,CUST100270,21.06.2026,,Escalated,3,BR1030
CMP900438,CUST101858,17/02/2025,,In Progress,14,BR1017
CMP900153,CUST100331,2020-10-22,Mis-selling,Open,17,BR1000
CMP900544,CUST102953,22-May-2020,Fees & Charges,Resolved,35,BR1006
CMP900569,CUST100989,2024-12-26,Card Issue,In Progress,16,BR1029
CMP900762,CUST103068,25/11/2024,Card Issue,Resolved,9,BR1019
CMP900883,CUST102815,2024-11-20,Online Banking,Resolved,16,BR1010
CMP900455,CUST103059,10-30-2022,Customer Service,Resolved,31,BR1021
CMP900891,CUST100311,14.08.2022,Fraud,Escalated,8,BR1029
CMP900421,CUST100918,2020-08-10,Customer Service,Open,3,BR1022
CMP900232,CUST101412,03-Mar-2025,Account Closure,Resolved,28,BR1003
CMP900843,CUST101497,31/05/2026,Fees & Charges,Resolved,37,BR1008
CMP900731,CUST100879,23.09.2025,Fees & Charges,Resolved,19,BR1011
CMP900017,CUST102214,02-25-2021,Loan Issue,In Progress,32,BR1019
CMP900500,CUST101857,27-Dec-2023,Account Closure,Resolved,41,BR1002
CMP900594,CUST101958,10/08/2021,Card Issue,Escalated,27,BR1003
CMP900632,CUST100635,09/06/2020,,In Progress,23,BR1023
CMP900052,CUST102686,09-29-2020,Loan Issue,Escalated,13,BR1005
CMP900682,CUST101165,18/03/2020,,Escalated,45,BR1025
CMP900630,CUST102444,2024-10-08,Fraud,Resolved,1,BR1004
CMP900462,CUST102500,14-Oct-2021,Customer Service,Escalated,22,BR1024
CMP900334,CUST100204,2020-08-25,Online Banking,In Progress,42,BR1023
CMP900570,CUST101827,12.01.2024,Fees & Charges,Resolved,34,BR1026
CMP900619,CUST101122,04-10-2026,,Open,29,BR1021
CMP900242,CUST100519,24/06/2021,Card Issue,Resolved,19,BR1010
CMP900659,CUST102917,2021-12-07,Fraud,Escalated,-4,BR1029
CMP900859,CUST102252,04.09.2019,Account Closure,In Progress,21,BR1004
CMP900326,CUST101530,2019-07-18,Fraud,Open,20,BR1018
CMP900152,CUST102425,02-Jan-2026,Mis-selling,Escalated,20,BR1017
CMP900067,CUST103126,29.05.2019,Account Closure,Resolved,26,BR1020
CMP900096,CUST102098,17.07.2025,Card Issue,Escalated,23,BR1008
CMP900772,CUST103117,09-06-2023,Fees & Charges,Open,38,BR1000
CMP900005,CUST100822,2025-04-12,Mis-selling,In Progress,39,BR1023
CMP900946,CUST102557,11.03.2020,Fraud,Escalated,24,BR1024
CMP900822,CUST102127,06-21-2026,Customer Service,Open,16,BR1006
CMP900665,CUST100137,19/09/2023,Fraud,Open,23,BR1018
CMP900269,CUST100059,23/01/2019,Fraud,Open,9,BR1011
CMP900041,CUST100473,03.04.2022,Mis-selling,In Progress,7,BR1027
CMP900578,CUST101192,08/07/2024,Online Banking,Open,45,BR1004
CMP900038,CUST101874,08-19-2022,Mis-selling,Escalated,4,BR1003
CMP900461,CUST101416,27-Jul-2025,Mis-selling,Open,7,BR1011
CMP900270,CUST103011,2026-06-12,Customer Service,Resolved,-6,BR1027
CMP900520,CUST100487,08-Sep-2022,Mis-selling,Resolved,11,BR1011
CMP900718,CUST101622,12-11-2026,Account Closure,Escalated,27,BR1019
CMP900725,CUST100631,03-28-2019,Card Issue,Escalated,32,BR1007
CMP900467,CUST102114,06-Aug-2026,Mis-selling,In Progress,16,BR1020
CMP900490,CUST100747,20.03.2019,Account Closure,Open,18,BR1010
CMP900467,CUST102114,06-Aug-2026,Mis-selling,In Progress,16,BR1020
CMP900661,CUST100823,2026-11-02,Fees & Charges,Open,16,BR1029
CMP900178,CUST101255,08-12-2022,Mis-selling,In Progress,36,BR1003
CMP900495,CUST102758,09-24-2022,Mis-selling,In Progress,11,BR1030
CMP900537,CUST101177,2021-05-07,Customer Service,Resolved,31,BR1004
CMP900315,CUST102438,2021-04-06,Loan Issue,In Progress,23,BR1030
CMP900430,CUST100642,27.09.2023,Account Closure,Resolved,16,BR1009
CMP900615,CUST100324,16/02/2025,Fees & Charges,Open,6,BR1012
CMP900846,CUST102266,02-07-2025,Account Closure,In Progress,4,BR1023
CMP900344,CUST100449,13/09/2025,Account Closure,In Progress,36,BR1014
CMP900530,CUST101271,05-Jun-2021,Fraud,Resolved,23,BR1028
CMP900208,CUST102086,05-Dec-2019,Account Closure,Escalated,28,BR1015
CMP900381,CUST101910,08/03/2026,Fees & Charges,In Progress,34,BR1001
CMP900356,CUST100899,29-Jul-2019,Card Issue,In Progress,42,BR1004
CMP900865,CUST103021,19-May-2025,,Resolved,38,BR1021
CMP900727,CUST101506,16-Jul-2026,Card Issue,Open,9,BR1024
CMP900912,CUST100919,2019-05-24,Customer Service,Escalated,5,BR1004
CMP900180,CUST101137,2024-06-01,Fraud,Open,17,BR1023
CMP900925,CUST100420,01/11/2025,Customer Service,Resolved,19,BR1005
CMP900424,CUST100294,03.02.2020,Account Closure,Open,42,BR1017
CMP900879,CUST102197,10-Jun-2025,,In Progress,15,BR1003
CMP900746,CUST102896,30/08/2024,Fees & Charges,Open,14,BR1015
CMP900471,CUST100708,29/11/2021,Account Closure,In Progress,29,BR1030
CMP900021,CUST102509,10-31-2025,Fraud,Escalated,22,BR1009
CMP900117,CUST102179,19/05/2025,Customer Service,Escalated,29,BR1010
CMP900434,CUST101601,22-Nov-2020,Mis-selling,Open,3,BR1027
CMP900166,CUST103028,22-Aug-2026,Customer Service,In Progress,38,BR1000
CMP900368,CUST102703,30/05/2023,Mis-selling,Open,45,BR1016
CMP900949,CUST101683,14.07.2024,Fraud,Escalated,34,BR1027
CMP900811,CUST100105,2019-11-07,Loan Issue,In Progress,25,BR1005
CMP900195,CUST102400,01-16-2019,Card Issue,Open,38,BR1019
CMP900494,CUST102511,06-02-2019,Loan Issue,Escalated,45,BR1006
CMP900089,CUST102094,21-Oct-2020,Card Issue,Resolved,24,BR1023
CMP900120,CUST102486,16/05/2026,Fees & Charges,Open,34,BR1006
CMP900696,CUST101094,2025-10-03,Fees & Charges,Resolved,23,BR1029
CMP900497,CUST101993,07-07-2023,Customer Service,Resolved,17,BR1004
CMP900091,CUST101152,20/10/2022,Account Closure,Open,36,BR1023
CMP900927,CUST101271,26/07/2024,Fees & Charges,Open,20,BR1018
CMP900071,CUST101031,05-31-2022,Online Banking,Escalated,3,BR1003
CMP900650,CUST102762,02-14-2023,Mis-selling,Open,40,BR1018
CMP900334,CUST100204,2020-08-25,Online Banking,In Progress,42,BR1023
CMP900061,CUST102514,03-30-2025,Account Closure,Open,29,BR1030
CMP900901,CUST100878,2019-08-30,Mis-selling,Open,16,BR1014
CMP900898,CUST103149,2025-04-13,Account Closure,Escalated,23,BR1013
CMP900937,CUST101839,23/08/2026,Account Closure,Escalated,24,BR1014
CMP900453,CUST100418,11-Jan-2026,Account Closure,Resolved,45,BR1005
CMP900155,CUST101907,07-21-2024,Loan Issue,Escalated,10,BR1019
CMP900836,CUST100356,04.01.2021,Customer Service,Resolved,6,BR1023
CMP900947,CUST100140,23/12/2025,Account Closure,In Progress,16,BR1007
CMP900070,CUST102914,08-26-2026,Mis-selling,Escalated,26,BR1022
CMP900918,CUST101589,2021-09-26,Online Banking,Escalated,37,BR1030
CMP900519,CUST102797,25.07.2024,Mis-selling,Escalated,43,BR1012
CMP900286,CUST103023,21/02/2022,Account Closure,Escalated,35,BR1005
CMP900763,CUST102449,20/12/2022,Online Banking,Escalated,13,BR1011
CMP900734,CUST100193,13/02/2025,Customer Service,In Progress,18,BR1015
CMP900088,CUST102206,04.07.2019,Loan Issue,Open,9,BR1027
CMP900382,CUST100101,07-10-2024,Customer Service,Escalated,37,BR1015
CMP900202,CUST101617,2023-06-13,Customer Service,Escalated,-1,BR1008
CMP900638,CUST101469,08-31-2022,Card Issue,In Progress,43,BR1027
CMP900389,CUST100461,03/11/2019,Loan Issue,Open,42,BR1028
CMP900876,CUST100489,09-15-2022,Fraud,Escalated,33,BR1024
CMP900447,CUST100739,17/03/2021,Account Closure,In Progress,1,BR1012
CMP900162,CUST101979,21/05/2024,Customer Service,Open,29,BR1003
CMP900587,CUST102974,28-Feb-2026,Online Banking,Escalated,40,BR1015
CMP900216,CUST100468,2020-04-27,Account Closure,In Progress,19,BR1031
CMP900930,CUST100242,11/04/2020,Account Closure,Resolved,20,BR1019
CMP900882,CUST101943,2026-01-01,Customer Service,Resolved,3,BR1017
CMP900425,CUST101912,09/07/2019,Account Closure,Open,44,BR1008
CMP900543,CUST101149,04.04.2019,,In Progress,42,BR1011
CMP900757,CUST101899,27.04.2021,Card Issue,Escalated,40,BR1023
CMP900014,CUST103137,11-10-2020,Online Banking,Open,23,BR1007
CMP900904,CUST102416,10-03-2023,Card Issue,Resolved,2,BR1008
CMP900454,CUST101165,27-Sep-2020,Online Banking,Escalated,3,BR1031
CMP900255,CUST100112,18/08/2020,Account Closure,Escalated,28,BR1012
CMP900611,CUST101366,04-26-2023,Online Banking,Resolved,43,BR1018
CMP900917,CUST101774,12-Mar-2022,Account Closure,Escalated,27,BR1011
CMP900170,CUST101320,13.03.2023,Online Banking,Resolved,7,BR1027
CMP900622,CUST100750,16.08.2022,Online Banking,Escalated,37,BR1013
CMP900737,CUST100079,2025-12-06,Fees & Charges,Open,5,BR1001
CMP900186,CUST102030,2024-08-28,Fees & Charges,Open,2,BR1016
CMP900171,CUST102442,03.01.2024,Mis-selling,Resolved,39,BR1022
CMP900224,CUST101092,02-Jul-2019,Online Banking,In Progress,17,BR1007
CMP900680,CUST100625,22.04.2020,Loan Issue,Resolved,18,BR1011
CMP900263,CUST102745,27.05.2020,,In Progress,36,BR1018
CMP900116,CUST102225,10-Dec-2019,Account Closure,Open,22,BR1019
CMP900814,CUST100164,12-06-2020,Loan Issue,In Progress,20,BR1009
CMP900715,CUST101481,2023-08-12,Customer Service,Escalated,30,BR1012
CMP900628,CUST101009,30/07/2023,Card Issue,Escalated,21,BR1017
CMP900850,CUST100903,09-01-2024,Fees & Charges,Open,9,BR1027
CMP900121,CUST101874,12.10.2020,Fees & Charges,Escalated,10,BR1017
CMP900634,CUST101351,19/11/2020,Online Banking,Escalated,10,BR1029
CMP900915,CUST100659,16-Dec-2026,Card Issue,Escalated,37,BR1019
CMP900246,CUST100724,17/02/2023,Customer Service,In Progress,24,BR1023
CMP900130,CUST102327,24/03/2022,Online Banking,Open,12,BR1023
